artist_name,popularity,followers,genres,album_name,album_id,release_date,total_tracks,available_markets_count,album_type,album_group,album_popularity,album_genres,album_label,track_number,track_name,track_id,duration_ms,explicit,track_popularity,artists
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,1,That's Hilarious,0wPKDeY4fZXT6k9bzV0kx0,144933,True,61,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,2,Charlie Be Quiet!,3E9es0SK2EusrHA7IaO7Zu,128364,False,45,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,3,Light Switch,5Q4lCfjJ1aht8YZOGFbC5U,187703,False,43,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,4,There’s A First Time For Everything,0I3FXz5RssOlMNI0FmPAkc,136769,False,41,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,5,Smells Like Me,0OM84HfW4XX1kmwCMDPmcS,204079,False,43,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,6,Left and Right (Feat. Jung Kook of BTS),1tGq9MNEmWGevwtiBCdrbk,154486,False,42,"Charlie Puth, Jung Kook, BTS"
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,7,Loser,4oTn7ylKtjeMYwxatEVFAt,204376,False,44,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,8,When You’re Sad I’m Sad,4JC4Gj3DcAkwh9rvBeYoXy,174036,False,39,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,9,Marks On My Neck,55ruPNJ55uKjtm77nf3lPD,138159,False,38,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,10,Tears On My Piano,7mWBvNosCez1ry9f1ba197,181385,True,43,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,11,I Don’t Think That I Like Her,0Ts1lnK3lYa2dwE2orDJc5,188507,False,55,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",CHARLIE,2LTqBgZUH4EkDcj8hdkNjK,2022-10-07,12,184,album,album,57,,Atlantic Records,12,No More Drama,2g3afkZqrBxT9RWNSPSWa7,140041,False,46,Charlie Puth
